image_link,group_id,entity_name,entity_value,image_filename,image_path
https://m.media-amazon.com/images/I/61I9XdN6OFL.jpg,748919,item_weight,500.0 gram,61I9XdN6OFL.jpg,images/61I9XdN6OFL.jpg
https://m.media-amazon.com/images/I/71gSRbyXmoL.jpg,916768,item_volume,1.0 cup,71gSRbyXmoL.jpg,images/71gSRbyXmoL.jpg
https://m.media-amazon.com/images/I/61BZ4zrjZXL.jpg,459516,item_weight,0.709 gram,61BZ4zrjZXL.jpg,images/61BZ4zrjZXL.jpg
https://m.media-amazon.com/images/I/612mrlqiI4L.jpg,459516,item_weight,0.709 gram,612mrlqiI4L.jpg,images/612mrlqiI4L.jpg
https://m.media-amazon.com/images/I/617Tl40LOXL.jpg,731432,item_weight,1400 milligram,617Tl40LOXL.jpg,images/617Tl40LOXL.jpg
https://m.media-amazon.com/images/I/61QsBSE7jgL.jpg,731432,item_weight,1400 milligram,61QsBSE7jgL.jpg,images/61QsBSE7jgL.jpg
https://m.media-amazon.com/images/I/81xsq6vf2qL.jpg,731432,item_weight,1400 milligram,81xsq6vf2qL.jpg,images/81xsq6vf2qL.jpg
https://m.media-amazon.com/images/I/71DiLRHeZdL.jpg,731432,item_weight,1400 milligram,71DiLRHeZdL.jpg,images/71DiLRHeZdL.jpg
https://m.media-amazon.com/images/I/91Cma3RzseL.jpg,731432,item_weight,1400 milligram,91Cma3RzseL.jpg,images/91Cma3RzseL.jpg
https://m.media-amazon.com/images/I/71jBLhmTNlL.jpg,731432,item_weight,1400 milligram,71jBLhmTNlL.jpg,images/71jBLhmTNlL.jpg
https://m.media-amazon.com/images/I/81N73b5khVL.jpg,149159,item_weight,30.0 kilogram,81N73b5khVL.jpg,images/81N73b5khVL.jpg
https://m.media-amazon.com/images/I/61oMj2iXOuL.jpg,308856,item_weight,10 kilogram to 15 kilogram,61oMj2iXOuL.jpg,images/61oMj2iXOuL.jpg
https://m.media-amazon.com/images/I/91LPf6OjV9L.jpg,281678,item_weight,3.53 ounce,91LPf6OjV9L.jpg,images/91LPf6OjV9L.jpg
https://m.media-amazon.com/images/I/81fOxWWWKYL.jpg,281678,item_weight,3.53 ounce,81fOxWWWKYL.jpg,images/81fOxWWWKYL.jpg
https://m.media-amazon.com/images/I/81dzao1Ob4L.jpg,281678,item_weight,53 ounce,81dzao1Ob4L.jpg,images/81dzao1Ob4L.jpg
https://m.media-amazon.com/images/I/91-iahVGEDL.jpg,281678,item_weight,100 gram,91-iahVGEDL.jpg,images/91-iahVGEDL.jpg
https://m.media-amazon.com/images/I/81S2+GnYpTL.jpg,731432,item_weight,200 gram,81S2+GnYpTL.jpg,images/81S2+GnYpTL.jpg
https://m.media-amazon.com/images/I/81e2YtCOKvL.jpg,731432,item_weight,1 kilogram,81e2YtCOKvL.jpg,images/81e2YtCOKvL.jpg
https://m.media-amazon.com/images/I/81RNsNEM1EL.jpg,731432,item_weight,200 gram,81RNsNEM1EL.jpg,images/81RNsNEM1EL.jpg
